face,script,method,n_truth,n_pred,n_atf,recall,precision,first_err,count_ok,px_per_line,coverage
HS.2017__reverse,OB,free,4,7,5,0.75,nan,0.5467691934262487,False,112.8,0.8
HS.2017__reverse,OB,comb,4,5,5,0.5,nan,0.4935777040645466,True,112.8,0.8
HS.2017__reverse,OB,dp,4,5,5,0.5,nan,0.4137904700219934,True,112.8,0.8
HS.2018__reverse,OB,free,6,9,6,1.0,0.6666666666666666,0.5388307155322862,False,114.6,1.0
HS.2018__reverse,OB,comb,6,6,6,0.5,0.5,0.5213787085514835,True,114.6,1.0
HS.2018__reverse,OB,dp,6,6,6,0.6666666666666666,0.6666666666666666,0.5126527050610821,True,114.6,1.0
HS.2016__obverse,OB,free,5,8,4,0.8,0.5,0.7433286516853934,False,142.4,1.25
HS.2016__obverse,OB,comb,5,4,4,0.4,0.5,0.2587780898876406,True,142.4,1.25
HS.2016__obverse,OB,dp,5,4,4,0.2,0.25,0.38518258426966306,True,142.4,1.25
HS.2019__top,OB,free,2,10,2,0.5,0.1,nan,False,303.1,1.0
HS.2019__top,OB,comb,2,2,2,0.0,0.0,nan,True,303.1,1.0
HS.2019__top,OB,dp,2,2,2,0.0,0.0,nan,True,303.1,1.0
HS.2020__obverse,OB,free,6,8,6,1.0,0.75,0.6062782731401023,False,187.3,1.0
HS.2020__obverse,OB,comb,6,6,6,0.6666666666666666,0.6666666666666666,0.040341273674005106,True,187.3,1.0
HS.2020__obverse,OB,dp,6,6,6,0.6666666666666666,0.6666666666666666,0.13644378301730462,True,187.3,1.0
HS.2019__obverse,OB,free,6,11,7,1.0,nan,1.0165855487513669,False,104.9,0.86
HS.2019__obverse,OB,comb,6,7,7,0.8333333333333334,nan,1.007052660286162,True,104.9,0.86
HS.2019__obverse,OB,dp,6,7,7,1.0,nan,0.18722425227853573,True,104.9,0.86
HS.2019__reverse,OB,free,3,10,5,1.0,nan,0.582216625573581,False,129.6,0.6
HS.2019__reverse,OB,comb,3,5,5,0.6666666666666666,nan,0.28360551446246984,True,129.6,0.6
HS.2019__reverse,OB,dp,3,5,5,0.6666666666666666,nan,0.25042650211679085,True,129.6,0.6
HS.1377.B__obverse,OB,free,7,7,7,0.5714285714285714,0.5714285714285714,0.7717634714190158,True,123.7,1.0
HS.1377.B__obverse,OB,comb,7,7,7,0.5714285714285714,0.5714285714285714,1.4831620162856285,True,123.7,1.0
HS.1377.B__obverse,OB,dp,7,7,7,0.5714285714285714,0.5714285714285714,0.7232590251781104,True,123.7,1.0
HS.1443__reverse,OB,free,4,2,30,0.0,nan,nan,False,93.4,0.13
HS.1443__reverse,OB,comb,4,30,30,1.0,nan,nan,True,93.4,0.13
HS.1443__reverse,OB,dp,4,30,30,1.0,nan,nan,True,93.4,0.13
HS.2018__obverse,OB,free,6,8,6,1.0,0.75,1.0193876200756327,False,110.6,1.0
HS.2018__obverse,OB,comb,6,6,6,0.8333333333333334,0.8333333333333334,0.9922628461154156,True,110.6,1.0
HS.2018__obverse,OB,dp,6,6,6,1.0,1.0,0.006729392227531256,True,110.6,1.0
HS.2020__reverse,OB,free,6,7,6,0.8333333333333334,0.7142857142857143,1.00883860153567,False,117.2,1.0
HS.2020__reverse,OB,comb,6,6,6,0.6666666666666666,0.6666666666666666,0.37341395819129247,True,117.2,1.0
HS.2020__reverse,OB,dp,6,6,6,0.6666666666666666,0.6666666666666666,0.5867245383960706,True,117.2,1.0
CBS.9857__obverse,OB,free,6,5,24,0.16666666666666666,nan,2.693376068376068,False,93.6,0.25
CBS.9857__obverse,OB,comb,6,24,24,0.0,nan,0.7222222222222225,True,93.6,0.25
CBS.9857__obverse,OB,dp,6,24,24,0.0,nan,0.6880341880341881,True,93.6,0.25
HS.1504__obverse,OB,free,30,7,34,0.2,nan,0.012299376698194548,False,76.7,0.88
HS.1504__obverse,OB,comb,30,34,34,0.5666666666666667,nan,0.5859630012092767,True,76.7,0.88
HS.1504__obverse,OB,dp,30,34,34,0.5666666666666667,nan,2.054193452506499,True,76.7,0.88
HS.1709__obverse,OB,free,7,5,9,0.5714285714285714,nan,nan,False,137.5,0.78
HS.1709__obverse,OB,comb,7,9,9,1.0,nan,nan,True,137.5,0.78
HS.1709__obverse,OB,dp,7,9,9,1.0,nan,nan,True,137.5,0.78
HS.2021__reverse,OB,free,32,16,24,0.4375,0.875,nan,False,82.2,1.33
HS.2021__reverse,OB,comb,32,24,24,0.625,0.8333333333333334,nan,True,82.2,1.33
HS.2021__reverse,OB,dp,32,24,24,0.6875,0.9166666666666666,nan,True,82.2,1.33
HS.2022__obverse,OB,free,5,7,5,1.0,0.7142857142857143,0.8884816862928112,False,126.3,1.0
HS.2022__obverse,OB,comb,5,5,5,0.8,0.8,0.8568110607979578,True,126.3,1.0
HS.2022__obverse,OB,dp,5,5,5,1.0,1.0,0.07747239130022122,True,126.3,1.0
HS.2022__reverse,OB,free,2,5,3,1.0,nan,3.1803879414558365,False,125.4,0.67
HS.2022__reverse,OB,comb,2,3,3,0.5,nan,1.5695426464000153,True,125.4,0.67
HS.2022__reverse,OB,dp,2,3,3,0.5,nan,2.0958584358736996,True,125.4,0.67
HS.2027__reverse,OB,free,5,7,5,0.8,0.5714285714285714,0.3683917665960183,False,150.5,1.0
HS.2027__reverse,OB,comb,5,5,5,0.6,0.6,0.33516917523389206,True,150.5,1.0
HS.2027__reverse,OB,dp,5,5,5,0.6,0.6,0.3019465838717658,True,150.5,1.0
HS.2023__obverse,OB,free,5,12,6,1.0,nan,0.8574077554518588,False,104.0,0.83
